[26/Mar/2021 14:44:18] INFO [django.utils.autoreload:598] Watching for file changes with StatReloader
[26/Mar/2021 14:44:18] DEBUG [django.utils.autoreload:286] Waiting for apps ready_event.
[26/Mar/2021 14:44:28] DEBUG [django.utils.autoreload:297] Apps ready_event triggered. Sending autoreload_started signal.
[26/Mar/2021 14:44:28] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\DELL\Desktop\GOOGLE SCHOLAR\Scholar\locale with glob **/*.mo.
[26/Mar/2021 14:44:28] DEBUG [django.utils.autoreload:252] Watching dir C:\ProgramData\Anaconda3\lib\site-packages\django\contrib\admin\locale with glob **/*.mo.
[26/Mar/2021 14:44:28] DEBUG [django.utils.autoreload:252] Watching dir C:\ProgramData\Anaconda3\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
[26/Mar/2021 14:44:28] DEBUG [django.utils.autoreload:252] Watching dir C:\ProgramData\Anaconda3\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
[26/Mar/2021 14:44:28] DEBUG [django.utils.autoreload:252] Watching dir C:\ProgramData\Anaconda3\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
[26/Mar/2021 14:44:28] DEBUG [django.utils.autoreload:252] Watching dir C:\ProgramData\Anaconda3\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
[26/Mar/2021 14:44:28] DEBUG [django.utils.autoreload:252] Watching dir C:\ProgramData\Anaconda3\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
[26/Mar/2021 14:44:28] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\DELL\Desktop\GOOGLE SCHOLAR\Scholar\home\locale with glob **/*.mo.
[26/Mar/2021 14:44:28] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\DELL\Desktop\GOOGLE SCHOLAR\Scholar\register\locale with glob **/*.mo.
[26/Mar/2021 14:44:28] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\DELL\Desktop\GOOGLE SCHOLAR\Scholar\article\locale with glob **/*.mo.
[26/Mar/2021 14:44:28] DEBUG [django.utils.autoreload:252] Watching dir C:\ProgramData\Anaconda3\lib\site-packages\storages\locale with glob **/*.mo.
[26/Mar/2021 14:44:28] DEBUG [django.utils.autoreload:252] Watching dir C:\ProgramData\Anaconda3\lib\site-packages\django_filters\locale with glob **/*.mo.
[26/Mar/2021 14:44:29] DEBUG [django.utils.autoreload:349] File C:\ProgramData\Anaconda3\Lib\site-packages\scipy\sparse\_index.py first seen with mtime 1604596784.0
[26/Mar/2021 14:44:29] DEBUG [django.utils.autoreload:349] File C:\ProgramData\Anaconda3\Lib\subprocess.py first seen with mtime 1595250092.0
[26/Mar/2021 14:44:29] DEBUG [django.utils.autoreload:349] File C:\ProgramData\Anaconda3\Lib\site-packages\numpy\random\bit_generator.cp38-win_amd64.pyd first seen with mtime 1603466893.0
